CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0103,0.9975729385618537
C0001,C0092,0.9968787968825862
C0001,C0135,0.9927364238882175
C0002,C0029,0.9998543931340029
C0002,C0077,0.9961038168882548
C0002,C0157,0.9954784900159904
C0003,C0111,0.9984874468302142
C0003,C0190,0.9966561574371823
C0003,C0038,0.9901332836738033
C0004,C0165,0.9983897071764074
C0004,C0162,0.9980867096016259
C0004,C0075,0.996932345616167
C0005,C0167,0.9999721868436697
C0005,C0020,0.9997142688345602
C0005,C0128,0.9987615592886807
C0006,C0168,0.9976122332196317
C0006,C0196,0.9950250564515252
C0006,C0187,0.9947524750205508
C0007,C0125,0.9998486580402707
C0007,C0089,0.9983437575900301
C0007,C0085,0.996033518638059
C0008,C0084,0.996086691326276
C0008,C0113,0.9958170325568012
C0008,C0017,0.9931732089853939
C0009,C0130,0.9999651017117013
C0009,C0128,0.9985963548763069
C0009,C0192,0.9985908489461925
C0010,C0176,0.9994511608148321
C0010,C0055,0.9938405529191887
C0010,C0174,0.9927444551206615
C0011,C0023,0.9991440715038481
C0011,C0139,0.9865162221712651
C0011,C0100,0.9850016770913713
C0012,C0101,0.9999587274161243
C0012,C0093,0.999622095179217
C0012,C0153,0.99947746641252
C0013,C0021,0.999687290592602
C0013,C0141,0.9977202433858625
C0013,C0059,0.9974582304694569
C0014,C0097,0.998719491824662
C0014,C0043,0.9970286568742919
C0014,C0032,0.9962680059155483
C0015,C0058,0.9988538808142926
C0015,C0186,0.9942941310767259
C0015,C0131,0.9925119270458043
C0016,C0040,0.9996938077843687
C0016,C0107,0.9988533191486209
C0016,C0066,0.9979863451056683
C0017,C0113,0.9996650162383116
C0017,C0084,0.99475137630122
C0017,C0008,0.9931732089853939
C0018,C0041,0.9939468680584729
C0018,C0068,0.9928505306919448
C0018,C0004,0.9899798786769834
C0019,C0166,0.9972891718322159
C0019,C0031,0.9942266796584923
C0019,C0088,0.988374423934766
C0020,C0005,0.9997142688345602
C0020,C0128,0.9995779165091033
C0020,C0167,0.999508189662205
